variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
774946,0,,,
797647,0,826016,,
797823,0,826017,,
805419,0,,,
805422,0,,,
805593,0,826017,,
805671,0,,,
806431,1,,,
806432,1,,,
806466,1,,,
809315,0,826017,,
809416,0,826016,,
809456,0,826017,,
809478,0,826017,,
809494,0,826017,,
809873,1,,,
809910,1,,,
809911,1,,,
811372,0,826016,,
812503,1,,,
812505,1,,,
812512,0,,,
812516,0,,,
812540,0,,,
812541,0,,,
813989,1,,,
813990,1,,,
813999,0,,,
814056,0,826016,,
815807,0,826016,,
816367,0,,,
816368,0,,,
816779,0,826017,,
817725,1,,,
817726,0,,,
817727,0,,,
819095,0,,,
819281,0,826017,,
819314,0,826016,,
819332,0,826016,,
819339,0,826016,,
819343,0,826017,,
819353,0,826017,,
819383,0,826017,,
819411,0,826017,,
819449,0,826016,,
819451,0,826017,,
819459,0,826016,,
819789,0,,,
819793,0,,,
819795,0,,,
820343,0,,,
820555,0,826017,,
820680,0,,,
821143,1,,,
821365,0,,,
821409,0,,,
821721,1,,,
822074,1,,,
822075,1,,,
822258,0,826016,,
822307,0,826017,,
823493,0,,,
823499,0,826016,,
823531,0,,,
823533,1,,,
823535,0,,,
823537,0,,,
823809,0,,,
823841,0,,,
824129,0,826017,,
824134,0,826016,,
824704,1,,,
824706,0,,,
825546,0,826017,,
825567,0,826016,,
825608,0,,,
825610,0,,,
825635,1,,,
825636,1,,,
825842,0,,,
826014,1,,,
826015,1,,,
826016,1,,,
826017,1,,,
826018,1,,,
826025,0,,,
826027,0,,,
826128,0,826016,,
826155,0,,,
826158,1,,,
826162,0,,,
826167,0,,,
826168,0,,,
826170,0,,,
826237,1,,,
826263,0,826016,,
826266,0,,,
826276,0,826016,,
826277,0,826016,,
826280,0,826017,,
826281,0,826017,,
826282,0,,,
826294,0,826017,,
826295,0,826017,,
826306,0,,,
826308,0,826016,,
826309,0,826017,,
826312,0,826016,,
826331,0,826017,,
826332,0,826017,,
826333,0,826017,,
826342,0,,,
826357,0,,,
826366,0,826017,,
826439,0,826017,,
826449,0,826016,,
826450,0,826016,,
826451,0,826017,,
826485,0,,,
826536,0,826016,,
826583,0,,,
826584,0,,,
826585,0,,,
826586,0,,,
826588,0,,,
826589,0,,,
826590,0,,,
826591,0,,,
826592,0,,,
826593,0,826016,,
826594,0,826016,,
826596,0,826016,,
826615,1,,,
826618,1,,,
826620,0,,,
826623,0,,,
826657,0,826016,,
826678,1,,,
826682,0,,,
826687,0,,,
826690,0,,,
826879,0,826016,,
826885,0,826016,,
826895,0,826017,,
826906,0,826017,,
826907,0,826017,,
826936,0,826017,,
826956,1,,,
826960,0,,,
827084,0,,,
827121,1,,,
827123,1,,,
827146,0,826017,,
827147,0,826016,,
827149,0,826016,,
827164,0,826017,,
827212,0,,,
827213,0,,,
827217,0,,,
827231,1,,,
827234,0,826016,,
827235,0,826017,,
827237,0,826016,,
827256,0,826017,,
827274,0,826017,,
827280,0,,,
827293,0,826017,,
827397,0,826017,,
827489,0,826017,,
827519,1,,,
827774,0,826017,,
827792,1,,,
827793,1,,,
827796,1,,,
827797,1,,,
827823,0,,,
827833,0,,,
827834,0,,,
827835,0,,,
827836,0,826016,,
827837,0,826017,,
827861,0,826017,,
827866,0,,,
827885,0,,,
828265,1,,,
828266,1,,,
828267,1,,,
828268,1,,,
828269,1,,,
828270,1,,,
828272,1,,,
828273,0,,,
828274,0,,,
828277,0,,,
828278,0,,,
828279,0,,,
828280,0,,,
828282,0,,,
828283,0,,,
828284,0,,,
828287,0,,,
828288,0,,,
828289,0,,,
828290,0,,,
828291,0,,,
828292,0,,,
828293,0,,,
828295,0,,,
828296,0,,,
828297,0,,,
828298,0,,,
828300,0,,,
828301,0,,,
828302,0,,,
828303,0,,,
828304,0,,,
828305,0,,,
828306,0,,,
828307,0,,,
828308,0,,,
828309,0,,,
828310,0,,,
828311,0,,,
828313,0,,,
828314,0,,,
828315,0,,,
828351,0,,,
828367,0,,,
828368,1,,,
828369,1,,,
828371,0,,,
828372,0,,,
828373,1,,,
828374,0,,,
828375,0,,,
828443,0,,,
828444,0,826016,,
828446,0,826017,,
828447,0,,,
828490,0,826017,,
828505,0,826017,,
828506,0,826016,,
828508,0,826017,,
828511,0,826016,,
828517,0,826016,,
828524,0,826017,,
828563,0,826016,,
828566,0,826017,,
828663,0,,,
828673,0,826017,,
828674,0,826016,,
828693,1,,,
828694,1,,,
828696,0,,,
828698,0,826016,,
828699,0,,,
828702,0,,,
828721,0,826016,,
828722,1,,,
828723,1,,,
828726,0,,,
828728,0,,,
828732,0,,,
828776,0,826017,,
828833,1,,,
828839,1,,,
828884,0,,,
828886,0,,,
828888,0,,,
828892,0,,,
828893,0,,,
828895,0,,,
828897,0,,,
828898,0,,,
828906,0,,,
828929,0,,,
828931,0,,,
828934,0,,,
828938,0,,,
828939,0,,,
829014,1,,,
829023,0,826017,,
829027,0,,,
829028,0,826016,,
829030,0,826017,,
829035,0,826017,,
829036,0,,,
829042,0,826016,,
829043,0,826017,,
829046,0,,,
829050,0,,,
829051,0,826017,,
829053,0,,,
829061,0,826016,,
829066,1,,,
829067,1,,,
829069,0,,,
829070,0,,,
829071,0,,,
829072,0,,,
829073,0,,,
829076,1,,,
829078,1,,,
829079,1,,,
829080,1,,,
829081,1,,,
829083,0,,,
829088,0,,,
829094,0,,,
829100,0,,,
829101,0,,,
829103,0,,,
829104,0,,,
829106,0,,,
829107,0,,,
829108,0,,,
829109,0,,,
829110,0,,,
829111,0,,,
829115,0,,,
829116,0,,,
829117,0,,,
829122,0,,,
829126,0,,,
829145,0,826017,,
829178,0,826017,,
829179,1,,,
829181,1,,,
829182,1,,,
829183,0,,,
829184,0,,,
829186,0,,,
829187,0,,,
829188,0,,,
829190,1,,,
829191,1,,,
829197,0,,,
829200,0,,,
829204,0,,,
829229,1,,,
829230,1,,,
829231,1,,,
829232,1,,,
829234,0,,,
829236,0,,,
829242,0,,,
829244,0,,,
829245,0,,,
829247,0,,,
829248,0,,,
829249,0,,,
829250,0,,,
829264,0,,,
829270,1,,,
829283,1,,,
829285,1,,,
829288,1,,,
829289,1,,,
829303,1,,,
829328,0,826017,,
829330,0,826016,,
829331,0,826016,,
829340,0,826016,,
829348,0,826016,,
829350,0,826017,,
829351,0,826017,,
829352,0,,,
829356,0,,,
829357,0,,,
829358,0,,,
829359,0,,,
829360,0,,,
829361,0,,,
829362,0,,,
829363,0,,,
829364,0,,,
829366,0,,,
829367,0,,,
829368,0,,,
829369,0,,,
829370,0,826016,,
829371,0,826017,,
829372,0,826017,,
829378,0,826017,,
829380,0,,,
829383,0,826017,,
829392,0,,,
829417,0,,,
829418,0,,,
829419,0,826016,,
829423,0,826017,,
829447,0,,,
829456,0,,,
829457,0,826016,,
829463,0,,,
829464,0,,,
829474,0,,,
829475,0,826017,,
829488,1,,,
829492,1,,,
829493,1,,,
